"Qty","Value","Device","Parts","Package","Description","AVAILABILITY","COPYRIGHT","DESCRIPTION","DIGI-KEY_PART_NUMBER","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PRICE","PURCHASE-URL","SPICEPREFIX","TP_SIGNAL_NAME",
"1","3.3 Vreg","7805TV","3.3VDC","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","","","57","","","","",
"1","BMA490L","BMA490L","IC1","BMA490L","Accelerometers High-performance longevity acceleration sensor","","","Accelerometers High-performance longevity acceleration sensor","","1mm","Bosch Sensortec","BMA490L","","","262-BMA490L","https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMA490L?qs=7MVldsJ5UawjTpioRTbJPQ%3D%3D","","","","","","","","","","",
"2","0.01uf","C-USC0805","C12, C13","C0805","CAPACITOR, American symbol","","","","","","","","","","","","","","","","","63","","","C","",
"13","0.1uf","C-USC0805","C1, C3, C4, C5, C6, C8, C9, C10, C15, C17, C18, C19, C20","C0805","CAPACITOR, American symbol","","","","","","","","","","","","","","","","","63","","","C","",
"8","10uf","C-USC0805","C2, C7, C11, C14, C16, C21, C22, C23","C0805","CAPACITOR, American symbol","","","","","","","","","","","","","","","","","63","","","C","",
"1","JS202011SCQN","JS202011SCQN","S1","SW_JS202011SCQN","JS Series DPDT On-On Gull Wing Surface Mount Subminiature Slide Switch","Unavailable",""," JS Series DPDT On-On Gull Wing Surface Mount Subminiature Slide Switch ","","","","","C&K","","","","JS202011SCQN","","","","None","","None","","","",
"1","100uh","L-USL3216C","L1","L3216C","INDUCTOR, American symbol","","","","","","","","","","","","","","","","","3","","","L","",
"1","GREEN","LEDCHIPLED_0603","LED2","CHIPLED_0603","LED","","","","","","","","","","","","","","","","","28","","","","",
"1","RED","LEDCHIPLED_0603","LED1","CHIPLED_0603","LED","","","","","","","","","","","","","","","","","28","","","","",
"2","ETHG","MA03-1","SV4, SV5","MA03-1","PIN HEADER","","","","","","","","","","","","","","unknown","unknown","","48","","","","",
"1","ETH1","MA07-1","SV1","MA07-1","PIN HEADER","","","","","","","","","","","","","","unknown","unknown","","4","","","","",
"1","GLCD","MA10-1","SV2","MA10-1","PIN HEADER","","","","","","","","","","","","","","unknown","unknown","","4","","","","",
"1","MAX6126B30","MAX6126B30","U2","SOP65P490X110-8N","","",""," Series Voltage Reference IC Fixed 3V V ±0.1% 10 mA 8-uMAX-EP|8-uSOP-EP ","MAX6126B30+T-ND","","","","Maxim Integrated","","","","MAX6126B30+T","","","","MICRO MAX-8 Maxim","","","https://pricing.snapeda.com/search/part/MAX6126B30+T/?ref=eda","","",
"4","MLE-105-01-G-DV","MLE-105-01-G-DV","J1, J2, J3, J4","MLE-105-01-G-DV","10 Position, 1.00 mm Tiger Beam&trade; Cost-Effective Single Beam Socket Strip","","","10 Position, 1.00 mm Tiger Beam&trade"," Cost-Effective Single Beam Socket Strip","","mm","SAMTEC","MLE-105-01-G-DV","","","200-MLE10501GDV","https://www.mouser.co.uk/ProductDetail/Samtec/MLE-105-01-G-DV?qs=rU5fayqh%252BE2dXiDvl4XeQQ%3D%3D","","","","","","","","","",
"1","OSC-OE-CFPS-32","OSC-OE-CFPS-32","OS1","7.2X5.2-4-PAD","OSCILLATOR WITH OE","","","","","","","","","","","","","","","","","0","","","","",
"1","PIC32MK0512MCJ048T-I/Y8XTQFP48_Y8X_MCH-M","PIC32MK0512MCJ048T-I/Y8XTQFP48_Y8X_MCH-M","U1","TQFP48_Y8X_MCH-M","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","","","","PIC32MK0512MCJ048T-I/Y8X","","Microchip","","","","","","","","","","","","",
"1","DC12+","PINHD-1X2","JP6","1X02","PIN HEADER","","","","","","","","","","","","","","","","","98","","","","",
"1","GND_TEST","PINHD-1X2","GND_POINTS","1X02","PIN HEADER","","","","","","","","","","","","","","","","","98","","","","",
